iter	Passed	Remaining
0	223	222868
1	256	128183
2	285	94969
3	321	80023
4	354	70447
5	404	67038
6	452	64126
7	487	60400
8	526	57923
9	555	55041
10	581	52255
11	595	49022
12	612	46481
13	627	44224
14	644	42309
15	659	40536
16	673	38972
17	712	38868
18	789	40774
19	808	39592
20	827	38566
21	848	37700
22	870	36964
23	891	36270
24	912	35592
25	927	34746
26	982	35394
27	1009	35060
28	1033	34594
29	1054	34080
30	1071	33503
31	1092	33039
32	1112	32588
33	1146	32578
34	1159	31975
35	1196	32047
36	1211	31538
37	1228	31099
38	1274	31403
39	1342	32222
40	1358	31782
41	1419	32388
42	1452	32330
43	1481	32194
44	1501	31869
45	1519	31506
46	1568	31799
47	1587	31483
48	1603	31129
49	1621	30815
50	1639	30504
51	1657	30225
52	1675	29942
53	1693	29666
54	1707	29329
55	1720	28997
56	1753	29010
57	1772	28785
58	1800	28718
59	1825	28595
60	1838	28298
61	1859	28127
62	1895	28190
63	1918	28056
64	1933	27812
65	1948	27567
66	1987	27671
67	2001	27435
68	2060	27808
69	2080	27641
70	2099	27464
71	2126	27407
72	2142	27208
73	2159	27017
74	2184	26941
75	2200	26754
76	2211	26514
77	2229	26355
78	2253	26266
79	2271	26122
80	2287	25951
81	2302	25777
82	2330	25745
83	2343	25556
84	2366	25474
85	2390	25405
86	2411	25302
87	2429	25173
88	2448	25064
89	2465	24929
90	2483	24812
91	2513	24802
92	2554	24908
93	2569	24768
94	2583	24606
95	2622	24690
96	2638	24564
97	2665	24535
98	2699	24572
99	2727	24543
100	2748	24467
101	2777	24452
102	2798	24372
103	2814	24250
104	2836	24174
105	2863	24152
106	2891	24131
107	2924	24152
108	2943	24062
109	2984	24145
110	3003	24056
111	3018	23934
112	3039	23860
113	3055	23750
114	3072	23641
115	3103	23652
116	3128	23608
117	3149	23540
118	3179	23536
119	3199	23463
120	3217	23374
121	3238	23308
122	3254	23205
123	3268	23089
124	3286	23002
125	3306	22937
126	3397	23357
127	3432	23387
128	3477	23482
129	3496	23397
130	3513	23304
131	3533	23238
132	3558	23197
133	3579	23134
134	3605	23101
135	3622	23016
136	3639	22928
137	3658	22851
138	3676	22775
139	3716	22828
140	3742	22801
141	3768	22772
142	3796	22752
143	3817	22693
144	3836	22621
